Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4390656.997235517,2512949.0120003475,1.2196269436765326,0.6980413922223188
 08/03  02:00:00,3780069.191395509,2294092.763473079,1.050019219832086,0.6372479898536331
 08/03  03:00:00,3535051.944638675,2220207.22953521,0.9819588735107431,0.6167242304264472
 08/03  04:00:00,3392679.6651486307,2165347.544008817,0.9424110180968419,0.601485428891338
 08/03  05:00:00,3543376.8341461145,2316539.620824657,0.9842713428183651,0.6434832280068491
 08/03  06:00:00,4127865.375139224,2862156.0028344407,1.1466292708720067,0.795043334120678
 08/03  07:00:00,6723188.933224647,3445295.487749608,1.867552481451291,0.957026524374891
 08/03  08:00:00,6081230.601886051,3832454.012792962,1.6892307227461252,1.064570559109156
 08/03  09:00:00,8054106.304647252,3418967.914682432,2.2372517512909034,0.9497133096340089
 08/03  10:00:00,6722303.630311746,3275642.844506638,1.8673065639754851,0.9099007901407328
 08/03  11:00:00,8882005.9000592,3347535.6362871937,2.4672238611275557,0.929871010079776
 08/03  12:00:00,0.0,0.0,0.0,0.0
 08/03  13:00:00,0.0,0.0,0.0,0.0
 08/03  14:00:00,2194189.521520481,0.0,0.6094970893112447,0.0
 08/03  15:00:00,1304027.5857533503,0.0,0.36222988493148617,0.0
 08/03  16:00:00,2205540.012159224,0.0,0.6126500033775623,0.0
 08/03  17:00:00,2567436.107983467,0.0,0.7131766966620742,0.0
 08/03  18:00:00,2458607.9434530595,0.0,0.6829466509591832,0.0
 08/03  19:00:00,10155870.653157664,5961881.978253312,2.8210751814326844,1.6560783272925867
 08/03  20:00:00,13252876.776316917,5878958.06153572,3.6813546600880325,1.6330439059821444
 08/03  21:00:00,13309617.423782105,5806546.156386869,3.6971159510505847,1.6129294878852414
 08/03  22:00:00,9296484.047585024,5315932.545519552,2.582356679884729,1.4766479293109867
 08/03  23:00:00,8938722.881452903,4223630.251844767,2.482978578181362,1.1732306255124352
 08/03  24:00:00,5619253.782016257,3260645.3952520285,1.5609038283378491,0.9057348320144524
